Date,Con,Lab,Lib Dem,SNP,Green
11/12/2021,0.32,0.39,0.09,0.05,0.05
10/12/2021,0.32,0.4,0.08,0.04,0.07
10/12/2021,0.33,0.39,0.09,0.05,0.04
10/12/2021,0.32,0.41,0.09,0.05,0.05
10/12/2021,0.34,0.39,0.11,0.05,0.07
09/12/2021,0.33,0.41,0.07,0.05,0.06
09/12/2021,0.33,0.37,0.09,0.05,0.07
09/12/2021,0.34,0.4,0.1,0.04,0.04
08/12/2021,0.34,0.38,0.11,0.04,0.06
06/12/2021,0.38,0.36,0.09,0.04,0.06
05/12/2021,0.38,0.37,0.09,0.04,0.05
04/12/2021,0.37,0.38,0.1,0.05,0.05
02/12/2021,0.36,0.33,0.09,0.05,0.09
01/12/2021,0.36,0.39,0.09,0.05,0.03
01/12/2021,0.36,0.35,0.11,0.05,0.08
29/11/2021,0.38,0.36,0.1,0.04,0.06
28/11/2021,0.37,0.37,0.08,0.05,0.05
26/11/2021,0.36,0.38,0.08,0.05,0.06
25/11/2021,0.36,0.35,0.07,0.05,0.08
22/11/2021,0.39,0.36,0.1,0.04,0.05
21/11/2021,0.37,0.37,0.09,0.04,0.06
21/11/2021,0.36,0.38,0.1,0.04,0.05
19/11/2021,0.38,0.39,0.09,0.04,0.06
18/11/2021,0.36,0.34,0.07,0.04,0.1
15/11/2021,0.36,0.37,0.1,0.04,0.05
15/11/2021,0.37,0.37,0.1,0.05,0.04
12/11/2021,0.34,0.4,0.1,0.05,0.05
12/11/2021,0.36,0.37,0.09,0.05,0.07
11/11/2021,0.35,0.35,0.08,0.05,0.1
10/11/2021,0.36,0.38,0.1,0.04,0.06
08/11/2021,0.37,0.36,0.1,0.05,0.06
08/11/2021,0.36,0.35,0.11,0.04,0.08
07/11/2021,0.38,0.35,0.1,0.05,0.04
06/11/2021,0.37,0.36,0.09,0.05,0.06
05/11/2021,0.4,0.37,0.08,0.03,0.06
04/11/2021,0.36,0.35,0.08,0.05,0.09
04/11/2021,0.35,0.36,0.09,0.05,0.11
01/11/2021,0.4,0.35,0.1,0.04,0.06
31/10/2021,0.4,0.35,0.09,0.05,0.04
29/10/2021,0.4,0.35,0.08,0.05,0.07
28/10/2021,0.39,0.33,0.08,0.05,0.1
25/10/2021,0.39,0.36,0.1,0.04,0.06
24/10/2021,0.37,0.35,0.08,0.05,0.07
21/10/2021,0.37,0.33,0.09,0.05,0.1
18/10/2021,0.4,0.37,0.09,0.04,0.05
18/10/2021,0.39,0.34,0.08,0.05,0.08
18/10/2021,0.4,0.32,0.06,0.06,0.09
17/10/2021,0.4,0.35,0.08,0.04,0.05
15/10/2021,0.38,0.37,0.09,0.04,0.06
15/10/2021,0.41,0.37,0.07,0.05,0.05
13/10/2021,0.41,0.31,0.09,0.04,0.08
11/10/2021,0.4,0.36,0.09,0.04,0.06
10/10/2021,0.4,0.35,0.08,0.05,0.05
07/10/2021,0.39,0.35,0.09,0.04,0.05
06/10/2021,0.39,0.31,0.09,0.06,0.09
04/10/2021,0.4,0.37,0.1,0.04,0.04
03/10/2021,0.4,0.35,0.09,0.05,0.04
01/10/2021,0.39,0.35,0.08,0.06,0.06
29/09/2021,0.41,0.36,0.08,0.05,0.05
29/09/2021,0.39,0.31,0.08,0.05,0.09
27/09/2021,0.41,0.35,0.1,0.04,0.05
27/09/2021,0.43,0.3,0.11,0.04,0.06
23/09/2021,0.39,0.32,0.1,0.04,0.09
23/09/2021,0.39,0.36,0.09,0.06,0.06
22/09/2021,0.4,0.35,0.08,0.04,0.04
20/09/2021,0.41,0.35,0.08,0.04,0.07
19/09/2021,0.4,0.35,0.09,0.04,0.05
17/09/2021,0.4,0.37,0.07,0.05,0.06
16/09/2021,0.39,0.35,0.07,0.05,0.07
16/09/2021,0.41,0.36,0.1,0.04,0.05
14/09/2021,0.4,0.36,0.09,0.04,0.05
13/09/2021,0.39,0.35,0.09,0.04,0.06
12/09/2021,0.39,0.35,0.09,0.04,0.06
11/09/2021,0.38,0.38,0.08,0.05,0.06
09/09/2021,0.33,0.35,0.1,0.05,0.09
08/09/2021,0.37,0.33,0.12,0.05,0.08
06/09/2021,0.41,0.32,0.11,0.04,0.06
05/09/2021,0.4,0.36,0.09,0.04,0.04
03/09/2021,0.38,0.34,0.08,0.05,0.1
03/09/2021,0.41,0.33,0.09,0.03,0.07
03/09/2021,0.4,0.35,0.07,0.06,0.06
29/08/2021,0.41,0.33,0.09,0.04,0.05
29/08/2021,0.4,0.34,0.1,0.04,0.05
26/08/2021,0.39,0.31,0.08,0.05,0.09
23/08/2021,0.43,0.33,0.1,0.03,0.06
23/08/2021,0.37,0.34,0.14,0.04,0.05
22/08/2021,0.41,0.34,0.09,0.04,0.04
20/08/2021,0.39,0.36,0.08,0.06,0.06
18/08/2021,0.4,0.32,0.09,0.05,0.08
16/08/2021,0.4,0.36,0.1,0.05,0.05
15/08/2021,0.41,0.34,0.09,0.04,0.04
12/08/2021,0.4,0.32,0.09,0.05,0.07
09/08/2021,0.4,0.37,0.09,0.04,0.06
09/08/2021,0.41,0.3,0.13,0.06,0.08
08/08/2021,0.41,0.33,0.1,0.04,0.04
06/08/2021,0.42,0.35,0.07,0.06,0.05
06/08/2021,0.41,0.33,0.08,0.05,0.07
02/08/2021,0.41,0.34,0.11,0.04,0.06
01/08/2021,0.4,0.34,0.1,0.04,0.06
29/07/2021,0.39,0.34,0.08,0.04,0.09
26/07/2021,0.42,0.37,0.06,0.03,0.06
25/07/2021,0.4,0.36,0.09,0.04,0.06
25/07/2021,0.4,0.34,0.1,0.04,0.04
23/07/2021,0.39,0.37,0.1,0.04,0.05
23/07/2021,0.43,0.35,0.08,0.05,0.05
21/07/2021,0.38,0.34,0.09,0.05,0.08
20/07/2021,0.39,0.35,0.11,0.04,0.05
19/07/2021,0.42,0.33,0.1,0.04,0.05
18/07/2021,0.41,0.34,0.08,0.04,0.05
16/07/2021,0.44,0.31,0.08,0.04,0.06
13/07/2021,0.43,0.32,0.09,0.05,0.06
12/07/2021,0.41,0.33,0.12,0.04,0.06
12/07/2021,0.44,0.31,0.12,0.06,0.04
11/07/2021,0.4,0.35,0.09,0.04,0.06
09/07/2021,0.43,0.35,0.06,0.05,0.06
08/07/2021,0.42,0.3,0.09,0.05,0.07
08/07/2021,0.4,0.31,0.13,0.06,0.06
05/07/2021,0.43,0.34,0.08,0.04,0.06
04/07/2021,0.41,0.35,0.08,0.03,0.04
02/07/2021,0.44,0.33,0.1,0.05,0.05
30/06/2021,0.42,0.31,0.1,0.05,0.06
28/06/2021,0.41,0.34,0.09,0.05,0.05
27/06/2021,0.42,0.33,0.09,0.04,0.05
26/06/2021,0.41,0.35,0.1,0.03,0.05
25/06/2021,0.43,0.35,0.07,0.05,0.05
24/06/2021,0.42,0.3,0.09,0.05,0.07
21/06/2021,0.44,0.33,0.1,0.04,0.04
20/06/2021,0.44,0.3,0.1,0.04,0.05
20/06/2021,0.41,0.35,0.1,0.02,0.05
17/06/2021,0.45,0.31,0.06,0.05,0.07
15/06/2021,0.41,0.33,0.08,0.04,0.07
14/06/2021,0.45,0.34,0.05,0.05,0.07
13/06/2021,0.44,0.34,0.09,0.04,0.05
13/06/2021,0.41,0.34,0.08,0.05,0.06
12/06/2021,0.46,0.34,0.07,0.02,0.05
11/06/2021,0.43,0.34,0.06,0.06,0.07
10/06/2021,0.44,0.31,0.07,0.05,0.09
10/06/2021,0.42,0.35,0.09,0.04,0.05
07/06/2021,0.43,0.36,0.07,0.05,0.05
07/06/2021,0.45,0.32,0.08,0.04,0.06
06/06/2021,0.44,0.32,0.08,0.04,0.05
03/06/2021,0.46,0.3,0.06,0.04,0.09
03/06/2021,0.44,0.35,0.06,0.05,0.07
02/06/2021,0.41,0.33,0.09,0.04,0.06
31/05/2021,0.45,0.34,0.08,0.04,0.05
30/05/2021,0.42,0.32,0.09,0.04,0.05
28/05/2021,0.42,0.36,0.06,0.05,0.05
28/05/2021,0.43,0.29,0.08,0.05,0.08
28/05/2021,0.43,0.33,0.1,0.05,0.05
28/05/2021,0.44,0.32,0.07,0.05,0.08
26/05/2021,0.44,0.33,0.08,0.04,0.06
24/05/2021,0.43,0.33,0.1,0.04,0.05
23/05/2021,0.43,0.34,0.09,0.04,0.04
20/05/2021,0.46,0.28,0.08,0.05,0.08
17/05/2021,0.42,0.33,0.1,0.04,0.06
16/05/2021,0.43,0.32,0.08,0.04,0.05
15/05/2021,0.43,0.3,0.11,0.05,0.09
14/05/2021,0.44,0.31,0.08,0.05,0.07
12/05/2021,0.45,0.3,0.07,0.05,0.08
10/05/2021,0.45,0.34,0.08,0.04,0.05
09/05/2021,0.42,0.34,0.08,0.05,0.04
05/05/2021,0.43,0.33,0.07,0.05,0.06
05/05/2021,0.45,0.36,0.06,0.04,0.05
03/05/2021,0.4,0.38,0.07,0.04,0.05
02/05/2021,0.4,0.36,0.08,0.04,0.04
30/04/2021,0.4,0.39,0.06,0.04,0.04
30/04/2021,0.42,0.37,0.07,0.05,0.04
29/04/2021,0.43,0.34,0.05,0.05,0.07
29/04/2021,0.39,0.38,0.09,0.04,0.06
28/04/2021,0.44,0.33,0.07,0.04,0.07
26/04/2021,0.44,0.34,0.08,0.05,0.04
