Date,Con,Lab,Lib Dem,UKIP,Green
2014-10-14,30.0,33.0,8.0,16.0,5.0
2014-10-13,31.0,34.0,7.0,17.0,4.0
2014-10-12,28.0,32.0,8.0,19.0,5.0
2014-10-12,31.0,35.0,11.0,14.0,4.0
2014-10-12,35.0,36.0,9.0,13.0,3.0
2014-10-10,31.0,31.0,7.0,25.0,2.0
2014-10-10,32.0,34.0,9.0,16.0,5.0
2014-10-09,31.0,34.0,8.0,18.0,4.0
2014-10-09,34.0,35.0,9.0,13.0,4.0
2014-10-09,30.0,35.0,9.0,15.0,5.0
2014-10-09,28.0,35.0,9.0,17.0,4.0
2014-10-08,33.0,34.0,7.0,14.0,6.0
2014-10-07,32.0,34.0,8.0,15.0,5.0
2014-10-06,35.0,33.0,8.0,13.0,4.0
2014-10-05,32.0,30.0,7.0,17.0,7.0
2014-10-05,31.0,37.0,8.0,15.0,3.0
2014-10-03,36.0,34.0,7.0,13.0,5.0
2014-10-02,33.0,38.0,8.0,13.0,3.0
2014-10-02,35.0,34.0,6.0,14.0,5.0
2014-10-01,31.0,38.0,7.0,15.0,5.0
2014-09-30,31.0,36.0,7.0,15.0,5.0
2014-09-29,31.0,36.0,7.0,16.0,4.0
2014-09-28,29.0,35.0,10.0,15.0,4.0
2014-09-28,32.0,32.0,8.0,17.0,4.0
2014-09-28,34.0,36.0,7.0,14.0,5.0
2014-09-26,31.0,36.0,6.0,15.0,6.0
2014-09-26,29.0,35.0,7.0,19.0,4.0
2014-09-26,32.0,34.0,7.0,17.0,4.0
2014-09-25,33.0,37.0,9.0,13.0,3.0
2014-09-25,31.0,37.0,7.0,13.0,5.0
2014-09-24,33.0,37.0,7.0,13.0,5.0
2014-09-23,31.0,37.0,7.0,15.0,5.0
2014-09-22,33.0,35.0,7.0,14.0,5.0
2014-09-21,27.0,33.0,9.0,17.0,6.0
2014-09-21,33.0,37.0,9.0,12.0,4.0
2014-09-19,31.0,36.0,7.0,16.0,5.0
2014-09-18,32.0,36.0,9.0,15.0,4.0
2014-09-18,33.0,35.0,8.0,14.0,5.0
2014-09-17,33.0,36.0,8.0,13.0,5.0
2014-09-17,30.0,35.0,7.0,19.0,5.0
2014-09-16,34.0,37.0,7.0,12.0,6.0
2014-09-16,29.0,34.0,11.0,18.0,4.0
2014-09-15,31.0,35.0,7.0,15.0,6.0
2014-09-14,33.0,35.0,10.0,9.0,7.0
2014-09-14,33.0,33.0,9.0,14.0,6.0
2014-09-14,34.0,35.0,9.0,13.0,3.0
2014-09-12,31.0,35.0,8.0,19.0,3.0
2014-09-12,32.0,35.0,7.0,15.0,6.0
2014-09-11,33.0,37.0,9.0,13.0,2.0
2014-09-11,31.0,35.0,7.0,16.0,5.0
2014-09-11,29.0,37.0,7.0,19.0,4.0
2014-09-10,32.0,38.0,6.0,14.0,5.0
2014-09-09,30.0,36.0,8.0,16.0,5.0
2014-09-09,34.0,33.0,7.0,15.0,6.0
2014-09-08,31.0,36.0,8.0,16.0,5.0
2014-09-07,28.0,35.0,8.0,18.0,6.0
2014-09-07,34.0,36.0,9.0,12.0,4.0
2014-09-05,33.0,35.0,7.0,15.0,4.0
2014-09-04,32.0,38.0,8.0,14.0,4.0
2014-09-04,32.0,36.0,7.0,16.0,5.0
2014-09-03,33.0,36.0,7.0,14.0,5.0
