Date,JxCat,Cs,Left (PSOE + Sumar + PNV + EHB + ERC),Right (PP + VOX)
2022-01-13,2.3,3.3,45.8,43.8
2022-01-13,,2.5,38.0,43.0
2022-01-06,2.3,3.2,45.8,43.7
2022-01-05,2.0,2.7,45.400000000000006,44.8
2021-12-30,2.4,3.2,45.699999999999996,43.8
2021-12-30,,3.6,41.5,41.8
2021-12-30,1.8,2.8,46.1,43.6
2021-12-30,2.0,4.3,46.199999999999996,41.9
2021-12-27,,,40.0,39.0
2021-12-26,1.0,3.2,44.199999999999996,44.5
2021-12-24,2.0,3.1,44.9,44.0
2021-12-23,2.4,3.2,45.7,44.1
2021-12-22,2.1,3.1,46.0,43.5
2021-12-19,,4.7,39.400000000000006,44.5
2021-12-17,2.4,3.4,46.00000000000001,44.0
2021-12-17,1.8,2.4,46.00000000000001,43.8
2021-12-16,2.1,2.5,43.6,45.6
2021-12-16,2.4,3.2,45.5,44.0
2021-12-13,1.7,4.6,46.1,39.5
2021-12-13,1.4,5.9,48.4,35.4
2021-12-13,,3.6,38.9,42.5
2021-12-11,2.2,3.0,44.800000000000004,44.3
2021-12-10,2.4,3.3,45.3,44.2
2021-12-09,2.1,2.8,45.50000000000001,44.6
2021-12-09,2.3,2.9,45.1,44.400000000000006
2021-12-05,2.1,3.2,48.20000000000001,41.4
2021-12-03,2.4,3.3,45.9,43.900000000000006
2021-12-03,2.1,2.3,45.800000000000004,44.0
2021-12-01,2.0,3.5,44.9,43.6
2021-11-26,2.4,3.2,45.699999999999996,44.099999999999994
2021-11-24,,3.0,41.099999999999994,41.8
2021-11-22,2.1,2.8,46.0,43.7
2021-11-22,2.0,3.4,44.6,44.5
2021-11-21,,4.7,40.2,44.1
2021-11-19,,1.3,40.1,44.6
2021-11-19,2.4,3.0,46.2,43.9
2021-11-19,2.2,2.2,46.7,43.5
2021-11-16,2.2,3.4,46.400000000000006,43.9
2021-11-15,,2.8,39.5,41.3
2021-11-11,2.0,3.0,44.8,44.5
2021-11-11,1.9,2.5,45.4,44.2
2021-11-11,2.3,3.0,46.2,44.099999999999994
2021-11-11,1.5,5.7,49.099999999999994,35.2
2021-11-10,2.3,2.8,45.4,44.400000000000006
2021-11-08,1.8,3.9,46.699999999999996,42.3
2021-11-06,2.2,2.9,44.1,44.5
2021-11-06,2.0,2.4,46.800000000000004,43.5
2021-11-05,,1.5,39.2,45.099999999999994
2021-11-04,2.2,2.5,45.2,45.0
2021-11-04,2.3,3.0,45.5,44.7
2021-11-04,,2.7,40.5,43.2
2021-10-30,2.1,3.0,46.2,43.4
2021-10-29,2.3,2.9,45.2,45.0
2021-10-24,,3.7,40.099999999999994,43.8
2021-10-22,2.2,3.4,46.400000000000006,44.0
2021-10-22,2.3,2.7,45.3,45.2
2021-10-22,1.9,2.6,46.400000000000006,43.9
2021-10-21,2.0,3.1,44.5,43.9
2021-10-20,2.1,3.0,46.1,43.9
2021-10-15,2.2,2.7,44.400000000000006,44.7
2021-10-15,,1.5,38.9,45.0
2021-10-15,2.2,2.9,45.50000000000001,44.9
2021-10-15,,4.0,38.5,43.1
2021-10-14,2.0,2.8,44.60000000000001,44.6
2021-10-13,1.6,6.0,48.4,35.3
2021-10-11,2.0,3.3,44.6,43.1
2021-10-10,,2.5,39.0,43.2
2021-10-08,2.2,2.8,45.300000000000004,44.9
2021-10-08,2.0,2.6,46.400000000000006,43.6
2021-10-07,2.3,2.8,44.9,45.0
2021-10-07,2.1,4.3,45.2,43.5
2021-10-06,2.3,2.7,45.8,44.6
2021-10-01,2.3,3.0,46.0,44.5
2021-09-27,2.3,3.2,47.9,41.7
2021-09-24,2.3,3.2,46.4,44.0
2021-09-24,2.1,2.6,46.6,43.6
2021-09-23,2.2,3.0,46.1,43.5
2021-09-21,2.3,3.5,45.900000000000006,44.3
2021-09-20,,2.0,38.5,44.3
2021-09-20,2.4,2.9,45.0,44.8
2021-09-19,,3.9,41.8,41.7
2021-09-18,2.3,2.7,44.1,44.8
2021-09-17,2.3,3.3,45.6,44.5
2021-09-16,2.1,2.8,46.0,43.6
2021-09-16,,3.3,42.400000000000006,40.2
2021-09-13,1.5,6.5,49.6,34.3
2021-09-10,2.1,2.9,46.60000000000001,42.9
2021-09-09,2.3,3.3,45.4,44.8
2021-09-03,2.3,3.4,45.5,44.400000000000006
2021-09-02,2.0,3.1,44.099999999999994,44.0
2021-09-01,2.4,2.8,44.5,45.3
2021-08-30,2.2,3.3,45.30000000000001,43.9
2021-08-30,2.1,2.9,43.8,43.599999999999994
2021-08-27,2.4,2.7,44.1,44.8
2021-08-26,2.3,3.4,44.9,44.900000000000006
2021-08-21,2.3,3.4,45.0,44.8
2021-08-20,2.3,3.5,45.7,44.5
2021-08-13,2.3,3.4,44.9,44.900000000000006
2021-08-06,2.3,2.9,44.800000000000004,45.3
2021-08-06,2.3,3.5,44.8,44.7
2021-08-04,,2.9,43.3,40.5
2021-07-30,2.3,3.4,44.6,44.9
2021-07-29,2.3,5.0,44.9,42.5
2021-07-23,2.2,3.3,45.6,44.9
2021-07-23,2.3,3.0,44.9,45.1
2021-07-22,2.2,3.3,45.300000000000004,44.0
2021-07-22,2.4,3.5,44.2,43.5
2021-07-19,2.1,2.8,45.1,42.9
2021-07-19,,4.0,37.0,44.7
2021-07-17,2.3,2.3,44.6,45.7
2021-07-16,2.4,2.7,44.9,45.1
2021-07-16,,1.4,40.0,45.7
2021-07-16,2.2,2.9,45.400000000000006,45.0
2021-07-15,,2.5,40.1,43.099999999999994
2021-07-15,,3.9,44.5,39.1
2021-07-15,2.1,3.1,44.900000000000006,42.4
2021-07-15,1.9,5.5,48.300000000000004,37.0
2021-07-12,,2.4,38.6,44.3
2021-07-10,2.2,2.9,46.0,44.599999999999994
2021-07-02,,1.5,39.2,46.400000000000006
2021-07-02,2.2,3.1,45.400000000000006,44.7
2021-07-01,2.3,2.8,44.5,45.7
2021-07-01,1.8,2.5,45.9,43.8
2021-06-27,2.3,5.2,44.7,42.8
2021-06-26,2.3,3.0,45.400000000000006,44.8
2021-06-26,2.4,2.6,44.5,45.5
2021-06-21,2.1,3.0,45.50000000000001,44.0
2021-06-21,1.9,2.5,45.8,45.6
2021-06-21,,3.5,37.9,43.9
2021-06-20,,2.0,41.0,44.8
2021-06-18,2.2,2.4,46.2,45.3
2021-06-18,2.3,3.0,45.800000000000004,44.400000000000006
2021-06-15,1.6,5.7,49.5,36.9
2021-06-11,2.3,3.1,45.50000000000001,44.599999999999994
2021-06-10,2.6,2.9,44.800000000000004,43.1
2021-06-09,,3.4,38.3,44.1
2021-06-04,2.3,3.0,45.6,44.7
2021-06-03,2.4,2.7,45.3,44.5
2021-06-01,1.8,3.2,44.400000000000006,44.9
2021-05-29,2.6,3.1,45.20000000000001,43.4
2021-05-28,2.3,3.0,45.9,44.599999999999994
2021-05-24,,3.4,38.8,44.1
2021-05-22,2.3,2.9,45.0,44.9
2021-05-22,2.4,2.9,45.900000000000006,43.7
2021-05-21,,1.4,39.9,45.599999999999994
2021-05-20,2.2,3.5,45.900000000000006,43.4
2021-05-20,,2.2,40.8,42.5
2021-05-18,2.4,3.3,43.8,44.3
2021-05-17,2.0,3.1,44.9,46.4
2021-05-15,2.4,2.9,46.60000000000001,42.7
2021-05-14,2.0,2.5,47.2,44.3
2021-05-13,1.6,5.3,47.3,37.099999999999994
2021-05-12,,4.0,38.7,42.1
2021-05-11,2.3,2.3,46.4,45.2
2021-05-08,2.3,2.8,45.9,44.0
2021-05-07,,1.2,39.0,46.2
2021-05-06,2.0,3.6,45.7,45.4
