Date,ÖVP,SPÖ,FPÖ,Grüne,NEOS,KPÖ,BIER
2022-05-05,26.0,26.0,18.0,12.0,10.0,,
2022-05-05,24.0,28.0,18.0,11.0,11.0,,
2022-03-24,23.0,28.0,19.0,9.0,10.0,,
2022-04-28,26.0,26.0,18.0,12.0,9.0,,
2022-04-26,24.0,28.0,19.0,11.0,12.0,,
2022-04-07,24.0,28.0,19.0,11.0,9.0,,
2022-03-24,26.0,26.0,18.0,11.0,10.0,,
2022-03-24,22.0,29.0,19.0,11.0,9.0,,
2022-03-10,23.0,27.0,19.0,11.0,10.0,,
2022-03-01,23.0,28.0,20.0,9.0,11.0,,
2022-02-24,23.0,25.0,20.0,11.0,11.0,,
2022-02-22,24.0,27.0,20.0,11.0,12.0,,
2022-02-10,24.0,25.0,18.0,13.0,10.0,,
2022-01-13,25.0,25.0,20.0,11.0,11.0,,
2021-12-28,24.0,26.0,21.0,12.0,11.0,,
2021-12-16,27.0,25.0,17.0,14.0,10.0,,
2021-12-09,27.0,27.0,17.0,11.0,9.0,,
2021-12-09,24.0,26.0,22.0,12.0,11.0,,
2021-12-09,23.0,26.0,20.0,12.0,12.0,,
2021-11-25,23.0,26.0,21.0,12.0,12.0,,
2021-11-18,24.0,25.0,20.0,13.0,10.0,,
2021-11-11,24.0,25.0,18.0,13.0,11.0,,
2021-10-21,23.0,23.0,20.0,16.0,12.0,,
2021-10-15,26.0,24.0,21.0,12.0,12.0,,
2021-10-15,25.0,25.0,19.0,14.0,11.0,,
2021-10-15,26.0,24.0,18.0,14.0,12.0,,
2021-10-12,27.0,25.0,21.0,11.0,13.0,,
2021-10-11,26.0,25.0,21.0,11.0,11.0,,
2021-10-11,25.0,25.0,18.0,11.0,11.0,,
2021-09-30,34.0,22.0,15.0,10.0,9.0,,
2021-09-09,34.0,24.0,18.0,12.0,11.0,,
2021-09-01,35.0,22.0,19.0,10.0,11.0,,
2021-08-26,34.0,21.0,19.0,10.0,12.0,,
2021-08-19,34.0,21.0,19.0,11.0,11.0,,
2021-08-12,34.0,21.0,18.0,10.0,12.0,,
2021-08-11,31.0,25.0,18.0,13.0,11.0,,
2021-08-05,35.0,21.0,17.0,11.0,12.0,,
2021-08-05,35.0,21.0,19.0,12.0,11.0,,
