Date,LPC,CPC,NDP,BQ,GPC
2016-09-08,51.0,29.0,12.0,4.0,4.0
2016-09-07,48.0,30.0,11.0,5.0,4.0
2016-09-01,53.0,25.0,12.0,4.0,5.0
2016-08-25,46.0,28.0,16.0,4.0,5.0
2016-08-06,50.0,31.0,10.0,4.0,4.0
2016-07-14,45.6,28.5,15.5,2.8,5.9
2016-07-05,52.0,28.0,11.0,5.0,3.0
2016-06-16,44.0,28.0,16.0,5.0,6.0
2016-06-07,49.0,32.0,10.0,4.0,4.0
2016-06-07,44.7,26.9,12.4,4.1,7.8
2016-05-24,46.0,30.0,15.0,4.0,
2016-05-20,46.0,27.0,15.0,4.0,7.0
2016-05-11,52.0,29.0,11.0,4.0,3.0
2016-04-27,49.0,30.0,14.0,3.0,4.0
2016-04-22,43.2,25.8,19.3,4.2,5.5
2016-04-15,48.0,30.0,14.0,3.0,5.0
2016-04-15,44.1,28.5,12.0,4.4,6.7
2016-04-13,49.0,26.0,13.0,5.0,5.0
2016-04-05,51.0,28.0,12.0,6.0,3.0
2016-03-30,46.0,30.0,12.0,5.0,6.0
2016-03-29,42.1,31.7,11.7,4.8,6.4
2016-03-23,47.0,28.0,14.0,4.0,6.0
2016-03-18,44.0,29.0,16.0,4.0,6.0
2016-03-15,46.0,34.0,12.0,4.0,3.0
2016-02-17,49.0,32.0,10.0,3.0,5.0
2016-02-04,49.0,27.0,15.0,3.0,5.0
2016-01-18,46.7,25.3,15.9,3.9,7.0
2016-01-15,44.0,32.0,16.0,3.0,5.0
2016-01-12,45.0,28.0,17.0,5.0,5.0
2015-12-10,46.3,27.2,15.3,3.4,6.7
2015-12-08,46.0,32.0,13.0,4.0,4.0
2015-11-25,49.0,24.0,16.0,5.0,5.0
2015-11-17,45.0,37.0,10.0,4.0,3.0
2015-11-07,55.0,25.0,12.0,4.0,3.0
2015-10-19,39.5,31.9,19.7,4.7,3.4
