Date,CPC,LPC,NDP,BQ,GPC,PPC
2020-07-03,27.8,36.3,16.4,6.1,10.1,2.5
2020-06-28,28.0,40.0,17.0,7.0,6.0,
2020-06-26,27.4,43.2,14.1,5.7,4.8,2.9
2020-06-26,27.0,38.4,14.8,6.5,9.3,3.2
2020-06-23,27.0,41.0,15.0,6.0,8.0,
2020-06-21,28.0,39.0,19.0,7.0,5.0,
2020-06-21,29.0,40.0,16.0,7.0,6.0,2.0
2020-06-19,26.1,38.2,14.1,7.5,9.5,3.8
2020-06-16,29.9,40.5,12.7,5.1,6.5,3.5
2020-06-14,27.0,40.0,16.0,7.0,7.0,
2020-06-12,25.7,36.8,16.3,7.0,9.3,4.4
2020-06-11,29.0,39.0,19.0,6.0,5.0,
2020-06-07,25.0,46.0,15.0,7.0,6.0,
2020-06-05,25.5,35.8,16.7,8.1,8.3,4.7
2020-06-01,28.0,42.0,12.0,7.0,7.0,
2020-05-31,27.0,40.0,18.0,7.0,7.0,
2020-05-29,29.0,39.0,15.0,7.0,7.0,
2020-05-25,27.0,41.0,15.0,7.0,6.0,
2020-05-24,31.0,37.0,17.0,7.0,5.0,
2020-05-22,26.2,35.3,19.3,6.6,7.5,4.6
2020-05-17,25.0,44.0,15.0,7.0,7.0,
2020-05-17,31.0,39.0,16.0,7.0,6.0,
2020-05-15,26.3,36.7,18.4,6.7,7.2,4.1
2020-05-10,28.0,41.0,17.0,7.0,6.0,
2020-05-08,26.1,36.9,19.2,6.1,8.0,3.2
2020-05-07,29.4,43.3,11.5,5.8,5.9,3.0
2020-05-07,28.3,42.7,10.6,6.7,6.7,3.3
2020-05-05,28.0,41.0,13.0,6.0,7.0,
2020-05-03,30.0,39.0,17.0,5.0,7.0,1.0
2020-05-03,25.0,44.0,15.0,7.0,6.0,
2020-05-01,25.8,36.9,19.0,5.8,8.4,3.6
2020-04-26,28.0,43.0,14.0,7.0,6.0,
2020-04-24,30.0,38.0,16.0,8.0,6.0,
2020-04-24,26.2,38.2,17.0,6.9,8.0,3.4
2020-04-19,29.0,42.0,14.0,8.0,5.0,
2020-04-17,33.0,36.0,17.0,8.0,4.0,
2020-04-17,26.4,38.3,17.4,7.2,7.0,2.8
2020-04-12,28.0,39.0,18.0,6.0,8.0,
2020-04-10,28.4,38.1,15.7,8.1,6.7,2.0
2020-04-03,29.1,38.9,14.8,8.4,6.5,1.1
2020-04-02,27.0,40.0,15.0,8.0,7.0,2.0
2020-03-27,30.9,36.1,16.6,7.0,7.0,0.8
2020-03-26,28.6,40.4,12.2,8.6,5.9,2.2
2020-03-20,32.5,34.8,17.4,6.0,7.0,1.3
2020-03-17,32.2,38.6,11.1,8.8,5.7,1.7
2020-03-13,29.5,37.0,17.6,5.9,7.4,1.8
2020-03-06,32.4,34.8,17.1,5.8,7.4,1.8
2020-03-02,30.0,32.0,20.0,8.0,8.0,
2020-02-28,34.0,26.0,21.0,9.0,7.0,
2020-02-28,35.1,35.3,15.0,5.9,6.5,1.6
2020-02-26,30.0,30.0,19.0,8.0,11.0,
2020-02-21,36.2,33.0,15.4,6.8,6.6,1.4
2020-02-14,36.1,32.7,15.5,7.1,7.0,1.1
2020-02-07,35.5,33.4,13.7,7.8,8.0,1.0
2020-01-31,33.1,33.2,16.4,7.7,7.9,1.1
2020-01-30,32.0,34.0,19.0,7.0,7.0,
2020-01-24,31.0,33.8,16.7,8.3,8.9,0.9
2020-01-21,32.0,31.0,19.0,8.0,8.0,
2020-01-17,30.0,34.0,17.0,6.0,8.0,3.0
2020-01-17,32.4,39.8,10.6,6.6,5.4,2.8
2020-01-17,30.8,34.1,16.4,8.1,8.6,1.2
2020-01-10,31.5,32.2,17.8,8.1,8.1,1.7
2020-01-07,31.0,34.0,18.0,7.0,8.0,
2020-01-03,31.3,33.7,17.0,7.1,8.8,1.4
2019-12-27,31.4,34.7,16.4,6.3,8.8,1.7
2019-12-20,29.6,34.7,17.7,6.0,9.8,1.4
2019-12-16,30.0,33.0,18.0,7.0,8.0,2.0
2019-12-15,33.0,30.0,19.0,8.0,7.0,
2019-12-13,30.5,33.8,18.7,5.0,10.2,0.9
2019-12-10,29.6,31.1,16.8,5.8,9.8,4.2
2019-12-06,31.0,33.6,17.5,6.7,9.8,0.6
2019-11-29,31.3,34.1,17.1,6.4,9.5,0.8
2019-11-25,30.0,32.0,19.0,7.0,7.0,3.0
2019-11-22,30.9,33.7,17.2,6.8,9.3,1.4
2019-11-15,30.8,32.8,19.0,7.6,7.3,1.9
2019-11-08,31.3,31.8,19.9,6.9,7.6,2.1
2019-11-01,32.5,31.1,19.0,6.7,8.5,1.8
2019-10-25,32.5,31.7,20.8,7.2,6.0,1.5
2019-10-21,34.3,33.1,16.0,7.6,6.5,1.6
