Date,Government,Opposition
2023-10-13,48.1,45.00000000000001
2023-10-12,45.2,44.60000000000001
2023-10-12,45.8,41.5
2023-10-11,45.2,46.400000000000006
2023-10-11,46.3,47.0
2023-10-09,45.4,45.8
2023-10-06,44.0,47.0
2023-10-06,47.900000000000006,45.199999999999996
2023-10-05,45.0,45.60000000000001
2023-10-05,46.9,45.0
2023-10-05,46.1,47.20000000000001
2023-10-04,45.5,47.0
2023-10-04,43.300000000000004,47.5
2023-10-03,44.2,46.900000000000006
2023-10-03,45.199999999999996,46.800000000000004
2023-10-02,44.5,46.8
2023-10-02,47.800000000000004,45.099999999999994
2023-10-02,45.400000000000006,45.9
2023-09-29,47.6,45.2
2023-09-29,45.5,44.699999999999996
2023-09-28,46.0,47.0
2023-09-27,43.199999999999996,44.5
2023-09-27,45.400000000000006,46.699999999999996
2023-09-26,44.5,46.5
2023-09-25,47.5,45.400000000000006
2023-09-25,45.3,46.400000000000006
2023-09-22,47.5,45.199999999999996
2023-09-21,44.5,46.0
2023-09-21,45.2,46.4
2023-09-21,46.2,46.8
2023-09-20,43.3,44.4
2023-09-20,45.4,41.800000000000004
2023-09-20,43.0,47.599999999999994
2023-09-19,45.0,42.0
2023-09-19,45.0,42.9
2023-09-18,44.9,46.9
2023-09-15,47.300000000000004,45.400000000000006
2023-09-14,45.6,41.6
2023-09-14,43.699999999999996,48.60000000000001
2023-09-13,45.1,46.199999999999996
2023-09-13,43.099999999999994,44.699999999999996
2023-09-13,46.5,46.699999999999996
2023-09-11,45.3,43.400000000000006
2023-09-11,47.2,45.800000000000004
2023-09-11,44.5,46.79999999999999
2023-09-08,45.0,45.0
2023-09-08,47.400000000000006,45.60000000000001
2023-09-07,45.0,41.9
2023-09-07,44.9,46.4
2023-09-07,45.6,44.5
2023-09-07,46.7,46.400000000000006
2023-09-04,47.300000000000004,45.5
2023-09-04,44.0,46.599999999999994
2023-09-01,47.599999999999994,45.5
2023-09-01,46.7,46.5
2023-08-31,44.4,44.699999999999996
2023-08-31,45.3,44.50000000000001
2023-08-30,44.800000000000004,45.6
2023-08-24,45.3,42.00000000000001
2023-08-20,46.8,46.2
2023-08-17,46.6,46.0
2023-08-09,46.89999999999999,46.0
2023-08-05,46.0,44.5
2023-08-02,45.1,39.1
2023-07-31,46.3,45.199999999999996
2023-07-28,48.8,44.9
2023-07-28,45.900000000000006,46.800000000000004
2023-07-27,45.599999999999994,45.0
2023-07-27,44.8,46.6
2023-07-26,44.3,45.099999999999994
2023-07-25,44.8,45.0
2023-07-24,46.0,45.10000000000001
2023-07-23,44.5,45.5
2023-07-21,46.0,42.6
2023-07-21,48.6,44.9
2023-07-20,44.5,45.3
2023-07-20,45.8,41.6
2023-07-20,46.1,47.10000000000001
2023-07-19,44.4,45.6
2023-07-17,46.0,45.3
2023-07-14,45.5,45.0
2023-07-14,48.7,44.800000000000004
2023-07-14,46.400000000000006,46.00000000000001
2023-07-13,45.1,45.2
2023-07-13,45.7,41.9
2023-07-10,46.0,45.9
2023-07-08,44.2,45.2
2023-07-07,48.9,44.6
2023-07-06,46.0,46.0
2023-07-06,46.1,41.8
2023-07-06,44.300000000000004,45.1
2023-07-05,46.6,44.9
2023-07-03,45.4,46.400000000000006
2023-06-30,49.3,44.400000000000006
2023-06-29,45.5,45.0
2023-06-29,44.9,45.0
2023-06-29,45.8,46.0
2023-06-29,46.1,41.8
2023-06-29,46.1,44.8
2023-06-28,44.8,45.39999999999999
2023-06-27,44.6,45.0
2023-06-24,45.0,45.199999999999996
2023-06-26,45.00000000000001,46.5
2023-06-23,49.4,44.3
2023-06-23,46.2,41.800000000000004
2023-06-22,47.5,42.0
2023-06-22,44.699999999999996,45.400000000000006
2023-06-19,49.6,43.9
2023-06-19,45.5,46.30000000000001
2023-06-19,45.2,46.300000000000004
2023-06-17,45.900000000000006,46.0
2023-06-16,46.1,44.1
2023-06-16,49.7,44.0
2023-06-15,46.7,41.7
2023-06-15,46.5,45.0
2023-06-14,47.0,44.0
2023-06-13,44.800000000000004,45.2
2023-06-13,47.0,45.0
2023-06-12,49.099999999999994,44.300000000000004
2023-06-12,44.8,46.89999999999999
2023-06-09,47.3,45.199999999999996
2023-06-08,44.9,41.699999999999996
2023-06-08,46.5,41.300000000000004
2023-06-06,44.7,45.699999999999996
2023-06-06,45.0,45.5
2023-06-05,47.2,45.5
2023-06-05,45.1,46.6
2023-06-03,44.8,45.6
2023-06-01,44.9,42.00000000000001
2023-06-01,43.900000000000006,45.4
2023-06-01,47.2,45.50000000000001
2023-06-01,46.300000000000004,41.8
2023-06-01,46.099999999999994,45.900000000000006
2023-05-30,46.0,45.5
2023-05-29,44.800000000000004,47.49999999999999
2023-05-26,46.900000000000006,42.6
2023-05-25,44.5,39.3
2023-05-25,44.5,45.0
2023-05-25,45.5,45.4
2023-05-25,46.4,41.8
2023-05-25,45.400000000000006,47.19999999999999
2023-05-23,46.0,46.0
2023-05-22,45.2,47.4
2023-05-19,45.3,45.5
2023-05-19,46.8,45.5
2023-05-19,45.5,47.3
2023-05-18,44.099999999999994,46.300000000000004
2023-05-18,46.5,41.4
2023-05-17,46.0,41.5
2023-05-17,44.0,45.5
2023-05-15,45.199999999999996,47.3
2023-05-12,46.8,42.6
2023-05-12,46.0,46.6
2023-05-11,44.1,43.400000000000006
2023-05-11,46.1,41.9
2023-05-10,45.1,46.49999999999999
2023-05-08,45.199999999999996,43.9
2023-05-08,45.1,46.9
2023-05-05,46.900000000000006,45.5
2023-05-04,44.1,43.5
2023-05-04,45.5,41.5
2023-05-04,43.4,47.400000000000006
2023-05-04,45.7,46.800000000000004
2023-05-04,46.300000000000004,41.5
2023-05-03,44.800000000000004,46.5
2023-04-30,44.599999999999994,46.8
2023-04-28,46.8,45.4
2023-04-27,43.9,43.800000000000004
2023-04-27,43.800000000000004,46.900000000000006
2023-04-27,45.1,45.50000000000001
2023-04-27,46.800000000000004,41.1
2023-04-27,45.4,47.1
2023-04-26,45.6,44.199999999999996
2023-04-24,44.50000000000001,46.3
2023-04-21,46.5,40.5
2023-04-21,46.599999999999994,45.3
2023-04-21,45.6,46.8
2023-04-20,43.5,47.5
2023-04-20,44.89999999999999,43.199999999999996
2023-04-20,45.0,45.7
2023-04-20,46.4,41.699999999999996
2023-04-19,44.800000000000004,46.0
2023-04-19,45.0,46.5
2023-04-19,45.0,45.0
2023-04-17,44.699999999999996,46.7
2023-04-15,45.5,44.5
2023-04-14,44.6,43.0
2023-04-14,46.599999999999994,45.4
2023-04-13,43.699999999999996,43.4
2023-04-13,43.8,47.400000000000006
2023-04-13,46.2,42.3
2023-04-13,45.599999999999994,46.5
2023-04-12,45.900000000000006,43.0
2023-04-12,44.9,46.99999999999999
2023-04-10,44.6,46.7
2023-04-07,45.0,44.0
2023-04-07,46.5,45.7
2023-04-06,44.2,42.9
2023-04-06,45.8,42.8
2023-04-06,45.6,46.5
2023-04-05,44.7,46.900000000000006
2023-04-03,44.300000000000004,46.599999999999994
2023-03-31,45.699999999999996,46.0
2023-03-30,44.5,42.699999999999996
2023-03-30,44.0,44.3
2023-03-30,46.0,42.6
2023-03-30,43.8,47.2
2023-03-30,46.199999999999996,46.7
2023-03-29,44.7,44.1
2023-03-29,44.699999999999996,47.10000000000001
2023-03-27,46.5,42.5
2023-03-27,44.0,47.4
2023-03-24,46.0,45.0
2023-03-24,46.0,45.6
2023-03-23,44.8,42.6
2023-03-23,45.0,46.5
2023-03-23,46.1,42.099999999999994
2023-03-23,43.6,43.50000000000001
2023-03-23,46.300000000000004,46.4
2023-03-22,45.1,45.5
2023-03-20,42.800000000000004,47.9
2023-03-20,45.099999999999994,46.60000000000001
2023-03-17,46.10000000000001,45.60000000000001
2023-03-17,46.6,46.2
2023-03-16,45.1,41.9
2023-03-16,43.3,42.7
2023-03-16,45.5,45.5
2023-03-16,46.2,42.1
2023-03-15,45.0,46.5
2023-03-14,47.5,40.5
2023-03-13,45.1,43.699999999999996
2023-03-13,45.5,46.60000000000001
2023-03-11,44.4,43.1
2023-03-10,46.9,42.0
2023-03-10,46.4,46.0
2023-03-09,45.699999999999996,44.5
2023-03-09,42.99999999999999,45.7
2023-03-09,45.7,42.4
2023-03-08,45.1,46.4
2023-03-06,46.1,45.7
2023-03-02,45.3,44.49999999999999
2023-03-02,47.0,41.9
2023-03-02,45.0,46.1
2023-03-02,43.1,44.0
2023-03-02,46.5,45.900000000000006
2023-03-01,45.199999999999996,42.49999999999999
2023-02-28,45.9,43.5
2023-02-28,46.0,44.0
2023-02-27,45.8,44.4
2023-02-24,47.800000000000004,44.400000000000006
2023-02-23,47.0,44.0
2023-02-23,44.9,48.400000000000006
2023-02-23,45.2,41.50000000000001
2023-02-23,45.9,45.39999999999999
2023-02-22,45.7,44.800000000000004
2023-02-22,46.0,45.0
2023-02-21,46.300000000000004,45.5
2023-02-21,45.400000000000006,44.9
2023-02-20,47.0,42.5
2023-02-20,46.5,43.599999999999994
2023-02-18,48.099999999999994,44.2
2023-02-16,45.1,41.9
2023-02-16,45.9,45.300000000000004
2023-02-15,46.0,44.4
2023-02-14,44.0,46.699999999999996
2023-02-13,46.0,42.5
2023-02-13,47.8,44.49999999999999
2023-02-13,46.0,44.199999999999996
2023-02-09,45.0,46.5
2023-02-06,45.699999999999996,46.9
2023-02-03,45.0,47.60000000000001
2023-02-02,43.6,46.599999999999994
2023-02-02,44.1,42.7
2023-02-02,45.4,45.39999999999999
2023-02-01,45.800000000000004,44.8
2023-01-30,43.300000000000004,47.099999999999994
2023-01-30,46.199999999999996,47.0
2023-01-26,45.5,48.0
2023-01-26,44.4,42.300000000000004
2023-01-26,45.0,44.8
2023-01-26,45.1,47.9
2023-01-25,45.400000000000006,47.5
2023-01-25,45.0,46.5
2023-01-25,43.9,43.5
2023-01-24,45.2,42.800000000000004
2023-01-19,43.6,47.0
2023-01-23,45.599999999999994,45.8
2023-01-23,45.9,46.5
2023-01-20,47.7,43.9
2023-01-19,44.7,44.800000000000004
2023-01-18,44.7,45.2
2023-01-18,44.7,47.6
2023-01-16,46.0,46.3
2023-01-13,47.6,43.9
2023-01-12,44.2,46.4
2023-01-12,44.5,45.0
2023-01-12,44.1,47.3
2023-01-11,44.2,42.5
2023-01-10,46.0,46.5
2023-01-09,46.699999999999996,45.9
2023-01-05,45.0,47.0
2023-01-04,44.8,45.900000000000006
2022-12-31,45.0,44.5
2022-12-31,44.9,47.300000000000004
2022-12-29,45.2,44.99999999999999
2022-12-29,43.9,45.599999999999994
2022-12-22,45.7,44.7
2022-12-22,44.1,45.400000000000006
2022-12-21,46.5,42.5
2022-12-21,46.3,45.6
2022-12-20,44.0,46.0
2022-12-19,44.900000000000006,44.800000000000004
2022-12-19,44.8,45.10000000000001
2022-12-19,45.7,43.89999999999999
2022-12-16,47.0,44.1
2022-12-15,46.099999999999994,41.5
2022-12-15,44.800000000000004,44.800000000000004
2022-12-15,48.1,43.7
2022-12-15,43.8,46.0
2022-12-12,44.3,45.6
2022-12-12,45.3,44.300000000000004
2022-12-09,46.5,45.0
2022-12-08,44.5,45.0
2022-12-08,43.699999999999996,45.900000000000006
2022-12-05,45.0,47.2
2022-12-02,46.199999999999996,44.8
2022-12-01,44.6,45.49999999999999
2022-12-01,46.0,46.5
2022-12-01,43.5,46.099999999999994
2022-11-30,45.2,45.6
2022-11-28,44.6,45.1
2022-11-25,45.900000000000006,44.9
2022-11-25,44.4,45.5
2022-11-24,44.6,45.6
2022-11-24,45.49999999999999,45.7
2022-11-24,43.6,45.8
2022-11-23,44.5,45.2
2022-11-22,44.5,50.0
2022-11-22,45.0,45.0
2022-11-21,44.6,45.4
2022-11-21,44.4,47.99999999999999
2022-11-18,45.800000000000004,44.9
2022-11-17,43.6,45.5
2022-11-16,44.800000000000004,45.699999999999996
2022-11-16,44.3,48.199999999999996
2022-11-14,45.0,44.8
2022-11-11,44.8,45.2
