Date,PiS,KO,Lewica,Konfederacja,Trzecia Droga,Koalicja,PL2050
2021-12-12,31.2,14.5,5.1,7.0,,3.0,14.0
2021-12-08,28.0,26.0,7.0,8.0,,3.0,11.0
2021-12-06,38.0,24.0,9.0,9.0,,2.0,13.0
2021-12-03,32.1,23.7,7.8,6.7,,5.7,10.6
2021-11-29,38.0,25.0,9.0,10.0,,2.0,12.0
2021-11-29,37.1,20.6,6.9,8.4,,3.2,10.6
2021-11-27,32.0,22.1,7.0,7.1,,6.4,11.8
2021-11-26,35.3,23.8,7.7,8.6,,7.1,15.8
2021-11-23,30.2,21.8,7.6,9.3,,5.1,13.0
2021-11-23,37.53,24.3,8.04,8.0,,4.46,15.74
2021-11-22,39.0,25.0,8.0,10.0,,1.0,13.0
2021-11-20,30.2,21.2,8.4,6.1,,4.6,13.2
2021-11-19,31.0,22.1,7.0,6.5,,5.8,12.3
2021-11-19,30.6,21.7,7.7,5.8,,5.1,13.3
2021-11-18,30.0,24.0,8.0,9.0,,4.0,14.0
2021-11-17,29.0,24.0,7.0,5.0,,4.0,10.0
2021-11-15,41.0,23.0,7.0,11.0,,1.0,13.0
2021-11-14,29.3,17.9,4.9,5.5,,2.0,12.0
2021-11-09,33.8,23.8,7.6,9.4,,2.2,10.8
2021-11-08,37.0,24.0,9.0,10.0,,1.0,14.0
2021-11-06,37.6,24.6,9.1,8.2,,5.7,12.8
2021-11-05,32.6,21.6,7.2,5.9,,4.6,16.5
2021-11-02,39.0,25.0,8.0,9.0,,2.0,12.0
2021-10-28,28.4,17.2,4.7,7.6,,3.0,12.2
2021-10-28,36.58,25.8,8.56,8.77,,4.41,13.8
2021-10-25,39.0,26.0,8.0,10.0,,2.0,12.0
2021-10-25,35.0,23.3,7.0,7.7,,3.0,11.3
2021-10-23,35.8,24.5,9.4,5.1,,4.6,13.5
2021-10-22,37.1,23.3,8.0,6.1,,6.2,12.0
2021-10-18,39.0,26.0,7.0,8.0,,2.0,13.0
2021-10-14,34.6,15.3,4.1,5.7,,2.0,11.5
2021-10-13,32.0,26.0,6.0,9.0,,4.0,15.0
2021-10-13,32.0,25.0,7.0,6.0,,3.0,10.0
2021-10-11,35.4,27.1,6.7,6.8,,4.6,9.5
2021-10-11,36.2,21.0,6.7,9.4,,1.6,11.5
2021-10-11,40.0,26.0,7.0,7.0,,2.0,12.0
2021-10-08,35.4,25.9,7.9,6.7,,5.8,9.8
2021-10-06,34.3,21.6,8.0,8.4,,5.4,10.5
2021-10-04,37.0,25.0,7.0,11.0,,1.0,14.0
2021-09-27,38.0,26.0,8.0,9.0,,2.0,14.0
2021-09-27,35.2,22.4,7.4,8.6,,2.0,11.1
2021-09-25,34.1,23.4,7.1,5.9,,5.0,12.0
2021-09-24,35.6,23.0,6.4,7.1,,5.3,11.6
2021-09-23,35.0,24.0,7.0,9.0,,4.0,15.0
2021-09-20,37.0,24.0,7.0,12.0,,2.0,13.0
2021-09-16,33.5,16.0,4.4,5.3,,1.0,11.8
2021-09-14,39.5,24.54,7.56,7.35,,4.66,14.32
2021-09-13,37.0,27.0,7.0,9.0,,2.0,12.0
2021-09-13,36.0,29.0,6.0,10.0,,2.0,12.0
2021-09-12,38.87,25.68,7.84,8.21,,3.85,13.86
2021-09-11,40.2,24.1,9.0,8.8,,3.9,10.9
2021-09-11,30.0,24.0,5.0,8.0,,3.0,14.0
2021-09-10,36.4,22.3,6.8,8.8,,5.2,9.2
2021-09-08,32.0,25.0,6.0,4.0,,3.0,12.0
2021-09-07,36.5,23.0,8.5,7.6,,2.9,11.3
2021-09-06,37.0,26.0,8.0,7.0,,3.0,16.0
2021-09-06,30.5,22.0,7.2,8.5,,0.8,17.9
2021-09-04,36.6,23.1,8.0,8.0,,4.4,11.5
2021-09-03,36.72,25.98,7.53,8.77,,nan,14.78
2021-09-03,34.61,24.09,7.73,9.69,,2.65,15.82
2021-08-30,35.0,25.0,9.0,8.0,,3.0,17.0
2021-08-28,35.3,25.7,9.3,6.4,,4.0,10.1
2021-08-27,37.1,25.0,9.0,8.1,,4.5,8.4
2021-08-27,36.3,25.5,8.0,8.0,,4.4,10.6
2021-08-27,37.0,24.0,7.0,10.0,,nan,16.0
2021-08-26,34.0,18.0,5.0,5.0,,3.0,11.0
2021-08-24,35.5,24.3,7.8,7.4,,4.2,11.7
2021-08-23,33.0,26.0,8.0,9.0,,2.0,17.0
2021-08-16,34.0,26.0,8.0,8.0,,4.0,18.0
2021-08-16,30.6,22.2,6.9,7.2,,2.0,17.0
2021-08-16,27.4,22.7,5.8,5.9,,1.8,14.5
2021-08-16,33.0,26.0,7.0,9.0,,2.0,18.0
2021-08-13,26.0,26.0,10.0,7.0,,3.0,17.0
2021-08-11,35.0,22.0,7.0,6.0,,4.0,9.0
2021-08-10,31.38,29.72,14.1,10.65,,5.29,7.83
2021-08-09,34.0,26.0,8.0,8.0,,2.0,17.0
2021-08-02,34.0,23.0,7.0,8.0,,3.0,21.0
2021-08-02,30.8,22.0,6.8,6.9,,1.7,15.4
2021-08-02,34.48,25.78,8.27,9.68,,3.07,16.29
2021-08-01,33.6,27.3,9.1,5.0,,5.0,11.1
2021-07-30,34.2,27.6,6.9,5.9,,5.0,10.0
2021-07-26,36.0,24.0,7.0,9.0,,2.0,19.0
2021-07-26,35.0,27.0,7.0,6.0,,2.0,19.0
2021-07-25,33.6,26.2,7.1,5.4,,5.0,10.9
2021-07-23,34.85,26.24,6.38,7.37,,2.32,19.76
2021-07-19,30.2,24.1,7.5,5.9,,1.8,17.4
2021-07-19,34.0,25.0,8.0,9.0,,2.0,19.0
2021-07-14,30.0,23.0,5.0,5.0,,4.0,15.0
2021-07-12,34.0,24.0,9.0,7.0,,4.0,20.0
2021-07-11,29.0,24.0,7.0,7.0,,3.0,15.0
2021-07-11,36.0,16.0,5.0,5.0,,3.0,13.0
2021-07-07,35.25,24.3,6.45,7.67,,4.3,18.75
2021-07-07,35.2,21.3,7.8,5.6,,5.1,16.5
2021-07-06,34.0,20.0,8.2,7.0,,5.3,15.5
2021-07-05,30.6,18.6,6.4,8.2,,1.9,19.1
2021-07-05,33.0,18.6,7.8,7.0,,6.0,16.6
2021-07-05,33.0,21.0,9.0,8.0,,2.0,24.0
2021-07-05,29.0,23.0,8.0,10.0,,4.0,17.0
2021-06-30,33.5,16.9,9.5,8.4,,6.6,17.1
2021-06-28,34.0,17.0,10.0,10.0,,3.0,23.0
2021-06-27,35.79,20.96,6.32,7.99,,4.84,23.04
2021-06-26,33.5,16.1,8.3,9.3,,5.4,17.9
2021-06-25,30.0,19.0,6.0,8.0,,4.0,21.0
2021-06-21,31.2,17.4,7.0,6.1,,3.1,22.5
2021-06-21,33.0,19.0,9.0,7.0,,4.0,25.0
2021-06-21,32.0,25.0,8.0,6.0,,3.0,22.0
2021-06-20,34.7,13.0,9.1,10.3,,5.1,20.2
2021-06-19,34.2,14.7,10.4,7.1,,5.3,19.0
2021-06-17,35.6,11.3,5.3,5.5,,2.0,16.1
2021-06-16,30.0,20.0,7.0,6.0,,4.0,14.0
2021-06-14,35.0,17.0,10.0,7.0,,3.0,25.0
2021-06-11,32.4,13.0,7.6,8.1,,4.7,19.8
2021-06-07,31.1,16.0,6.8,6.1,,2.7,24.8
2021-06-06,36.18,18.44,7.01,9.7,,4.92,23.02
2021-06-06,34.0,16.0,8.0,9.0,,3.0,26.0
2021-06-04,34.4,14.0,8.1,7.6,,4.7,23.0
2021-05-31,34.9,14.1,8.4,4.4,,5.0,20.2
2021-05-31,35.0,15.0,9.0,7.0,,3.0,27.0
2021-05-28,40.3,15.9,9.4,7.3,,4.4,22.9
2021-05-25,33.7,13.0,8.0,8.2,,4.3,22.7
2021-05-24,34.0,17.0,9.0,10.0,,2.0,24.0
2021-05-22,33.6,14.6,10.4,6.9,,4.9,18.6
2021-05-21,34.8,13.2,9.1,5.7,,5.3,22.1
2021-05-21,38.4,14.6,10.8,7.1,,4.7,22.2
2021-05-20,38.1,19.2,7.26,8.72,,4.95,20.9
2021-05-20,31.7,14.7,8.1,8.7,,3.5,23.4
2021-05-19,34.4,14.2,9.5,6.9,,5.2,20.4
2021-05-17,33.0,16.0,9.0,12.0,,3.0,23.0
2021-05-17,30.9,16.6,6.4,7.7,,1.7,20.5
2021-05-16,35.66,17.34,5.6,9.74,,3.0,20.53
2021-05-16,32.8,11.0,5.5,6.1,,2.0,17.1
2021-05-14,30.8,15.05,9.98,11.54,,2.4,27.68
2021-05-12,33.0,21.0,6.0,5.0,,3.0,17.0
2021-05-11,32.0,19.0,10.0,11.0,,4.0,21.0
2021-05-11,33.5,12.1,9.6,8.6,,4.3,21.9
2021-05-11,34.0,15.7,9.1,6.9,,6.4,19.6
2021-05-10,34.0,18.0,7.0,10.0,,2.0,25.0
2021-05-09,35.1,14.7,9.1,5.8,,5.6,19.9
2021-05-05,33.9,15.3,10.7,9.0,,4.5,18.9
2021-05-04,35.4,15.1,10.4,5.7,,5.1,20.4
2021-05-04,34.0,16.0,10.0,10.0,,2.0,23.0
2021-05-03,27.9,17.2,7.2,7.7,,1.5,23.6
2021-04-28,30.0,21.0,9.0,7.0,,3.0,20.0
2021-04-28,33.0,18.0,9.0,11.0,,2.0,22.0
2021-04-26,32.0,20.0,10.0,8.0,,2.0,24.0
2021-04-25,33.1,16.1,10.0,7.7,,4.4,17.1
2021-04-20,35.77,17.34,10.08,8.64,,5.14,21.91
2021-04-20,32.6,16.4,11.5,8.2,,4.9,15.7
2021-04-19,34.0,16.0,10.0,8.0,,2.0,26.0
2021-04-19,29.4,17.0,9.2,8.4,,2.4,21.1
2021-04-18,32.0,14.2,5.1,4.9,,1.3,15.6
2021-04-16,32.2,17.0,7.7,7.0,,4.9,17.3
2021-04-16,35.9,18.1,10.7,6.8,,5.2,20.9
2021-04-14,31.0,22.0,9.0,6.0,,3.0,16.0
2021-04-12,33.0,18.0,10.0,9.0,,2.0,24.0
2021-04-10,31.0,15.2,8.1,7.2,,5.1,19.1
2021-04-09,33.3,17.9,8.9,4.8,,4.9,19.0
2021-04-09,30.36,20.32,10.81,8.77,,2.0,25.05
2021-04-06,27.1,17.5,7.3,7.6,,2.3,23.8
2021-04-05,34.0,24.0,14.0,8.0,,3.0,nan
2021-04-05,30.0,20.0,13.0,8.0,,2.0,22.0
2021-03-29,32.0,22.0,13.0,11.0,,3.0,nan
2021-03-29,28.0,17.0,12.0,10.0,,5.0,22.0
2021-03-28,31.0,17.3,9.1,7.3,,5.0,17.2
2021-03-22,32.0,23.0,12.0,10.0,,4.0,nan
2021-03-22,29.0,18.0,10.0,10.0,,3.0,24.0
2021-03-22,29.8,15.7,8.7,8.7,,2.3,22.1
2021-03-19,33.2,18.5,9.3,6.5,,6.3,13.2
2021-03-19,28.0,17.0,10.0,8.0,,2.0,25.0
2021-03-18,26.0,16.0,8.0,9.0,,3.0,23.0
2021-03-15,33.0,24.0,13.0,10.0,,3.0,nan
2021-03-15,31.0,18.0,10.0,9.0,,2.0,25.0
2021-03-12,37.7,17.1,11.6,6.8,,5.9,18.3
2021-03-12,30.0,18.8,8.6,8.3,,4.1,21.6
2021-03-11,33.3,11.3,6.0,6.7,,2.4,17.2
2021-03-10,30.0,24.0,8.0,5.0,,3.0,14.0
2021-03-08,26.9,17.9,10.0,8.0,,1.1,22.1
2021-03-08,32.0,24.0,13.0,10.0,,4.0,nan
2021-03-08,31.0,20.0,12.0,9.0,,3.0,20.0
2021-03-07,29.0,20.0,9.0,8.0,,2.0,24.0
2021-03-06,32.3,18.1,7.4,6.2,,6.0,17.9
2021-03-05,33.0,17.5,9.6,5.3,,5.3,17.7
2021-03-04,39.86,20.32,9.79,6.95,,4.8,17.32
2021-03-01,30.0,28.0,12.0,10.0,,3.0,nan
2021-03-01,28.0,22.0,11.0,9.0,,3.0,21.0
2021-02-28,32.9,18.2,10.1,5.0,,5.9,17.3
2021-02-26,26.96,18.85,9.34,6.96,,3.23,31.26
2021-02-26,37.6,19.2,11.4,6.9,,5.5,17.1
2021-02-22,33.0,26.0,13.0,10.0,,3.0,nan
2021-02-22,30.0,19.0,12.0,8.0,,2.0,23.0
2021-02-19,33.5,19.3,11.4,6.0,,5.8,14.6
2021-02-16,31.2,19.0,7.5,8.2,,4.9,20.6
2021-02-15,33.0,24.0,15.0,9.0,,3.0,nan
2021-02-15,30.0,17.0,12.0,10.0,,3.0,23.0
2021-02-13,37.4,21.5,9.7,7.1,,5.4,16.2
2021-02-12,29.0,20.0,10.0,10.0,,4.0,20.0
2021-02-11,33.2,12.4,4.4,5.5,,2.0,19.2
2021-02-10,31.0,18.0,7.0,7.0,,4.0,15.0
2021-02-08,30.0,25.0,11.0,10.0,,4.0,nan
2021-02-08,29.0,20.0,10.0,9.0,,2.0,23.0
2021-02-06,32.0,19.0,8.0,6.0,,5.0,18.0
2021-02-05,33.5,19.7,8.0,7.0,,5.6,15.0
2021-02-03,29.0,23.0,6.0,5.0,,4.0,14.0
2021-02-01,34.0,23.0,12.0,9.0,,2.0,nan
2021-02-01,31.0,17.0,9.0,9.0,,2.0,27.0
2021-02-01,41.42,23.21,9.73,5.64,,3.59,15.25
2021-01-31,31.1,19.2,8.9,7.4,,5.5,16.9
2021-01-29,38.4,21.8,11.1,6.7,,5.2,14.6
2021-01-26,26.96,20.24,7.56,10.99,,2.61,27.7
2021-01-25,31.0,26.0,12.0,10.0,,5.0,nan
2021-01-25,29.0,21.0,9.0,8.0,,4.0,24.0
2021-01-23,30.0,19.6,9.5,7.5,,5.0,17.5
2021-01-22,32.5,20.9,10.2,4.6,,3.6,16.2
2021-01-21,34.7,20.8,8.6,6.5,,5.5,14.3
2021-01-18,33.0,29.0,12.0,11.0,,3.0,nan
2021-01-18,30.0,22.0,10.0,10.0,,2.0,22.0
2021-01-15,39.6,22.1,10.2,6.0,,6.6,12.9
2021-01-14,35.2,13.7,5.0,5.3,,2.0,18.2
2021-01-11,35.0,27.0,12.0,10.0,,3.0,nan
2021-01-11,32.0,23.0,9.0,8.0,,2.0,22.0
2021-01-09,33.2,20.6,7.7,6.4,,5.2,12.6
2021-01-05,33.0,29.0,12.0,9.0,,4.0,nan
2021-01-05,31.0,24.0,10.0,7.0,,2.0,19.0
2020-12-29,39.2,23.6,10.9,4.8,,7.4,12.9
2020-12-28,35.0,25.0,13.0,9.0,,3.0,nan
2020-12-28,33.0,19.0,11.0,8.0,,3.0,20.0
2020-12-22,33.2,23.6,8.9,4.5,,6.0,9.1
2020-12-21,33.0,26.0,14.0,9.0,,2.0,nan
2020-12-21,31.0,20.0,11.0,10.0,,4.0,20.0
2020-12-16,33.0,22.3,7.1,4.9,,6.1,11.0
2020-12-14,36.0,26.0,12.0,10.0,,4.0,nan
2020-12-14,34.0,20.0,10.0,8.0,,4.0,19.0
2020-12-12,40.05,26.29,8.52,6.03,,5.27,12.44
2020-12-12,34.0,23.4,9.7,4.0,,6.2,14.4
2020-12-11,38.3,24.9,10.9,4.4,,5.7,13.2
2020-12-10,33.7,23.8,9.0,5.9,,4.8,13.6
2020-12-10,31.1,18.1,3.9,5.1,,2.0,15.6
2020-12-09,25.0,25.0,8.0,6.0,,5.0,13.0
2020-12-08,31.0,27.0,13.0,10.0,,3.0,nan
2020-12-08,28.0,22.0,11.0,10.0,,3.0,22.0
2020-11-30,32.0,28.0,14.0,11.0,,3.0,nan
2020-11-30,29.0,21.0,12.0,10.0,,3.0,23.0
2020-11-28,33.6,23.0,9.8,4.7,,6.1,11.8
2020-11-27,32.7,22.4,10.1,5.4,,5.8,12.6
2020-11-27,36.9,27.4,9.6,5.2,,4.8,15.8
2020-11-25,29.0,23.0,10.0,9.0,,4.0,20.0
2020-11-23,27.0,25.0,8.0,7.0,,4.0,14.0
2020-11-23,33.0,26.0,13.0,10.0,,5.0,nan
2020-11-23,32.0,21.0,10.0,9.0,,4.0,21.0
2020-11-16,32.0,31.0,12.0,8.0,,6.0,nan
2020-11-16,28.0,24.0,10.0,7.0,,6.0,22.0
2020-11-15,29.8,16.3,6.0,6.8,,2.5,16.3
2020-11-14,33.0,24.1,8.4,2.3,,5.0,13.1
2020-11-13,36.8,29.3,9.4,6.6,,4.6,12.7
2020-11-12,30.0,24.0,6.0,6.0,,6.0,13.0
2020-11-09,32.0,29.0,15.0,9.0,,7.0,nan
2020-11-09,31.0,21.0,12.0,8.0,,5.0,22.0
2020-11-03,28.7,24.7,7.0,5.1,,5.1,11.3
2020-11-02,30.0,27.0,14.0,10.0,,6.0,nan
2020-10-31,30.9,25.3,6.0,4.9,,2.7,14.7
2020-10-31,28.0,23.1,6.2,4.4,,2.8,14.9
2020-10-30,29.0,24.0,6.9,5.3,,3.3,14.9
2020-10-30,33.4,26.8,10.4,8.7,,4.1,13.0
2020-10-29,31.3,18.1,6.9,8.1,,3.7,9.7
2020-10-28,37.83,31.57,9.76,5.98,,5.12,8.35
2020-10-28,32.6,25.5,8.2,9.3,,4.1,12.8
2020-10-27,26.0,24.0,8.0,8.0,,3.0,18.0
2020-10-26,37.0,26.0,13.0,11.0,,6.0,nan
2020-10-23,39.8,27.0,7.0,9.2,,4.3,12.2
2020-10-20,37.0,26.8,7.5,7.2,,3.8,8.7
2020-10-19,39.0,26.0,11.0,12.0,,7.0,nan
2020-10-16,36.1,28.2,6.4,7.8,,2.5,9.4
2020-10-12,36.0,27.0,14.0,12.0,,5.0,nan
2020-10-08,40.4,15.7,5.3,8.1,,3.1,7.7
2020-10-07,36.0,28.0,7.0,5.0,,4.0,9.0
2020-10-05,36.0,20.0,13.0,10.0,,4.0,15.0
2020-10-05,38.0,24.0,14.0,11.0,,6.0,nan
2020-10-02,41.6,22.1,7.2,7.5,,4.0,9.0
2020-09-28,42.0,25.0,11.0,9.0,,7.0,nan
2020-09-26,42.9,25.6,6.4,8.2,,5.2,11.4
2020-09-26,43.6,29.2,8.9,9.8,,6.8,nan
2020-09-21,40.0,27.0,15.0,9.0,,5.0,nan
2020-09-21,37.0,20.0,12.0,10.0,,5.0,15.0
2020-09-19,40.5,23.3,6.0,6.7,,5.0,9.1
2020-09-18,40.9,22.4,5.4,8.1,,3.2,11.2
2020-09-17,40.7,22.0,5.1,7.6,,2.7,nan
2020-09-14,42.0,26.0,10.0,8.0,,7.0,nan
2020-09-09,39.0,26.0,4.0,6.0,,4.0,11.0
2020-09-07,42.0,25.0,12.0,9.0,,6.0,nan
2020-09-07,37.0,27.0,4.0,7.0,,3.0,22.0
2020-09-05,41.3,28.6,6.7,8.4,,5.9,nan
2020-08-31,42.0,26.0,11.0,8.0,,7.0,nan
2020-08-31,36.0,26.0,4.0,7.0,,3.0,23.0
2020-08-27,44.0,19.2,4.0,8.0,,3.0,2.3
2020-08-24,41.0,25.0,13.0,nan,,6.0,9.0
2020-08-24,36.0,25.0,5.0,9.0,,2.0,23.0
2020-08-22,38.6,23.8,5.1,7.3,,5.4,8.4
2020-08-21,41.3,29.3,3.2,6.7,,2.4,7.1
2020-08-17,43.0,26.0,11.0,9.0,,6.0,nan
2020-08-14,44.0,29.8,9.6,8.5,,6.9,nan
2020-08-14,42.1,25.9,7.3,6.8,,5.2,12.4
2020-08-12,38.0,28.0,6.0,4.0,,3.0,5.0
2020-08-10,43.0,29.0,11.0,8.0,,4.0,nan
2020-08-07,36.0,31.0,9.1,6.7,,5.0,nan
2020-08-07,34.3,27.1,5.6,6.1,,2.8,11.7
2020-08-03,41.0,30.0,11.0,8.0,,6.0,nan
2020-08-03,39.0,21.0,9.0,7.0,,3.0,20.0
2020-07-29,36.0,33.0,6.0,6.0,,5.0,nan
2020-07-27,43.0,29.0,8.0,9.0,,7.0,nan
2020-07-25,39.2,26.5,9.8,9.3,,5.1,nan
2020-07-25,38.8,25.6,4.8,6.6,,2.0,11.8
2020-07-24,43.9,30.8,9.4,8.8,,6.5,nan
2020-07-24,41.5,24.7,8.7,7.9,,5.4,11.4
2020-07-20,42.0,28.0,10.0,11.0,,5.0,nan
2020-07-20,39.0,19.0,6.0,9.0,,3.0,23.0
2020-07-18,37.5,29.1,8.0,8.7,,5.4,nan
2020-07-18,39.7,28.1,9.9,8.0,,5.8,nan
2020-07-09,41.4,23.02,9.98,8.54,,4.24,12.12
2020-07-09,42.3,23.9,5.7,7.2,,3.2,nan
2020-07-04,38.0,23.6,7.3,7.3,,5.2,11.9
2020-06-27,42.0,25.0,14.0,9.0,,8.0,nan
2020-06-27,41.0,20.0,9.0,6.0,,5.0,18.0
2020-06-26,43.85,30.94,8.88,9.75,,6.15,nan
2020-06-25,44.2,23.9,6.6,5.6,,4.1,nan
2020-06-23,35.0,23.0,9.0,10.0,,8.0,nan
2020-06-23,40.0,30.0,13.0,8.0,,7.0,nan
2020-06-23,38.0,20.0,11.0,7.0,,4.0,19.0
2020-06-19,42.8,28.4,9.6,7.5,,10.4,nan
2020-06-17,41.3,29.6,10.7,8.8,,9.1,nan
2020-06-16,37.0,24.0,10.0,10.0,,6.0,nan
2020-06-16,39.0,28.0,13.0,8.0,,9.0,nan
2020-06-10,42.2,26.5,11.4,9.7,,8.9,nan
2020-06-10,37.0,31.0,7.0,7.0,,7.0,nan
2020-06-09,42.0,26.0,13.0,8.0,,9.0,nan
2020-06-08,36.0,29.0,8.0,10.0,,5.0,nan
2020-06-04,42.6,27.4,10.1,7.2,,11.4,nan
2020-06-04,46.4,19.7,5.1,5.8,,5.0,nan
2020-06-02,43.0,24.0,13.0,9.0,,8.0,nan
2020-05-29,41.0,24.3,9.0,7.5,,11.2,nan
2020-05-27,39.9,26.0,14.1,9.5,,9.4,nan
2020-05-25,42.0,24.0,14.0,9.0,,9.0,nan
2020-05-23,40.3,23.4,8.1,6.6,,13.4,nan
2020-05-22,41.9,26.1,11.6,6.6,,11.9,nan
2020-05-19,37.0,23.0,8.0,11.0,,7.0,nan
2020-05-18,47.0,21.0,14.0,7.0,,8.0,nan
2020-05-17,38.5,24.5,13.6,9.0,,12.6,nan
2020-05-15,45.8,17.3,12.8,8.9,,14.1,nan
2020-05-15,44.1,13.4,10.2,8.8,,12.9,10.6
2020-05-14,41.1,29.7,10.3,9.7,,8.0,nan
2020-05-14,47.0,18.0,12.0,9.0,,11.0,nan
2020-05-09,37.7,15.6,8.2,8.7,,12.8,nan
2020-05-08,39.3,28.5,13.0,8.9,,9.4,nan
2020-05-07,52.0,17.0,12.0,10.0,,8.0,nan
2020-05-04,40.2,23.7,14.7,9.4,,11.0,nan
2020-04-29,38.0,16.0,10.0,8.0,,8.0,nan
2020-04-27,52.0,17.0,12.0,9.0,,8.0,nan
2020-04-24,42.7,19.7,14.4,7.2,,15.8,nan
2020-04-20,53.0,17.0,12.0,10.0,,7.0,nan
2020-04-17,36.0,21.0,11.0,8.0,,12.0,nan
2020-04-13,52.0,15.0,11.0,11.0,,8.0,nan
2020-04-09,45.4,20.4,15.9,5.4,,12.6,nan
2020-04-07,44.0,22.4,15.7,7.7,,8.7,nan
2020-04-06,49.0,18.0,14.0,9.0,,10.0,nan
2020-04-02,42.0,27.1,12.5,8.7,,9.6,nan
2020-03-30,51.0,21.0,12.0,8.0,,7.0,nan
2020-03-26,44.3,22.9,15.0,5.2,,12.3,nan
2020-03-23,44.0,24.0,16.0,8.0,,8.0,nan
2020-03-18,41.9,23.8,15.4,8.2,,10.2,nan
2020-03-17,40.0,26.0,17.0,7.0,,10.0,nan
2020-03-15,49.1,20.6,7.7,6.9,,7.0,nan
2020-03-13,42.0,25.3,15.2,6.5,,10.3,nan
2020-03-13,47.6,21.9,12.4,9.8,,8.1,nan
2020-03-11,41.0,28.0,10.0,5.0,,7.0,nan
2020-03-10,45.0,24.0,15.0,7.0,,9.0,nan
2020-03-02,41.0,26.0,18.0,8.0,,7.0,nan
2020-02-28,41.7,28.6,13.4,6.2,,9.6,nan
2020-02-26,41.4,25.1,14.4,8.3,,9.8,nan
2020-02-24,41.0,25.0,16.0,9.0,,8.0,nan
2020-02-22,38.0,26.0,13.0,8.0,,7.0,nan
2020-02-20,38.4,30.9,13.4,9.0,,7.9,nan
2020-02-18,39.0,25.0,16.0,9.0,,11.0,nan
2020-02-16,44.0,24.0,9.0,6.0,,5.0,nan
2020-02-13,40.6,29.8,13.2,6.4,,9.3,nan
2020-02-12,41.0,26.0,10.0,4.0,,7.0,nan
2020-02-11,42.0,25.0,15.0,8.0,,8.0,nan
2020-02-08,35.9,27.2,15.6,6.3,,7.3,nan
2020-02-04,39.0,28.0,15.0,7.0,,9.0,nan
2020-01-30,35.0,30.0,13.0,7.0,,7.0,nan
2020-01-27,39.0,27.0,17.0,7.0,,9.0,nan
2020-01-25,38.0,26.0,15.0,6.0,,7.0,nan
2020-01-24,43.5,29.7,11.8,5.9,,8.7,nan
2020-01-23,40.5,27.4,14.7,8.5,,8.3,nan
2020-01-21,41.0,26.0,17.0,8.0,,7.0,nan
2020-01-16,37.8,31.3,13.3,9.7,,7.4,nan
2020-01-16,41.1,27.5,14.5,8.1,,8.5,nan
2020-01-16,44.0,23.0,10.0,5.0,,7.0,nan
2020-01-15,38.0,28.0,13.0,3.0,,6.0,nan
2020-01-14,42.0,23.0,18.0,8.0,,8.0,nan
2020-01-11,37.3,26.9,12.9,5.0,,4.7,nan
2020-01-10,45.4,28.2,10.5,6.4,,8.6,nan
2020-01-07,41.0,24.0,16.0,8.0,,10.0,nan
2019-12-31,41.0,23.0,17.0,9.0,,8.0,
2019-12-24,41.0,23.0,17.0,9.0,,8.0,
2019-12-22,39.1,27.9,16.1,9.8,,7.0,
2019-12-22,43.5,25.5,14.4,8.0,,8.1,
2019-12-20,39.8,26.8,9.9,6.1,,7.5,
2019-12-20,44.2,27.9,11.8,6.6,,8.8,
2019-12-18,41.0,27.0,12.0,7.0,,7.0,
2019-12-17,40.0,23.0,18.0,10.0,,7.0,
2019-12-11,39.0,26.0,11.0,6.0,,8.0,
2019-12-10,40.0,22.0,19.0,8.0,,10.0,
2019-12-07,35.0,25.0,12.0,7.0,,5.0,
2019-12-05,45.2,21.7,11.2,6.3,,6.2,
2019-12-03,40.0,24.0,16.0,9.0,,9.0,
2019-11-30,35.0,28.0,14.0,12.0,,9.0,
2019-11-27,44.6,23.3,14.9,8.4,,7.8,
2019-11-26,40.0,24.0,18.0,6.0,,10.0,
2019-11-23,39.6,24.8,12.8,6.2,,6.0,
2019-11-20,38.0,27.0,10.0,6.0,,7.0,
2019-11-19,40.0,25.0,17.0,9.0,,8.0,
2019-11-17,45.7,20.0,11.6,6.2,,8.8,
2019-11-12,42.0,25.0,15.0,8.0,,9.0,
2019-11-12,38.0,27.0,14.0,9.0,,7.0,
2019-11-06,46.4,25.0,12.7,5.7,,8.8,
2019-11-05,43.0,24.0,17.0,7.0,,8.0,
2019-11-04,44.0,26.1,14.4,6.2,,8.8,
2019-10-30,41.1,24.9,15.9,8.3,,9.8,
2019-10-23,41.0,23.0,15.0,7.0,,9.0,
2019-10-19,41.3,21.7,12.3,6.5,,7.1,
2019-10-16,39.0,27.0,14.0,7.0,,7.0,
2019-10-13,43.6,27.4,12.6,6.8,,8.6,
